Date,Opponent,Location,Result,Box Score Link,WMT Game ID,PSU Goals,PSU Shots on Goal,PSU Total Shot Attempts,PSU Faceoffs Won,PSU Faceoffs Lost,PSU Faceoff %,PSU Penalty Minutes,PSU Blocks,PSU Saves,Opponent Goals,Opponent Shots on Goal,Opponent Total Shot Attempts,Opponent Faceoffs Won,Opponent Faceoffs Lost,Opponent Faceoff %,Opponent Penalty Minutes,Opponent Blocks,Opponent Saves,Win,Goal Differential,Shot Differential,Total Shots on Goal,Faceoff Differential,PSU Save %,Opponent Save %,Home Game,Venue_Type,Total Goals,Total Penalty Minutes,PSU Shooting %,Opponent Shooting %
Friday Oct 3,Arizona State,"Tempe, Ariz. / Mullett Arena",W Win 6-3,https://gopsusports.com/boxscore/17959,6440318,6,47,69,32,45,41.56,18,16,35,3,38,65,45,32,58.44,16,13,41,1,3,9,85,-16.879999999999995,0.921,0.872,0,Away,9,34,12.76595744680851,7.894736842105263
Saturday Oct 4,Arizona State,"Tempe, Ariz. / Mullett Arena",W Win 4-2,https://gopsusports.com/boxscore/17960,6440319,4,46,76,29,42,40.85,14,13,45,2,47,69,42,29,59.15,8,17,42,1,2,-1,93,-18.299999999999997,0.957,0.913,0,Away,6,22,8.695652173913043,4.25531914893617
Thursday Oct 9,Clarkson,"University Park, Pa. / Pegula Ice Arena",L Loss 4-6,https://gopsusports.com/boxscore/17961,6440320,4,40,75,37,30,55.22,14,12,20,6,26,45,30,37,44.78,14,21,36,0,-2,14,66,10.439999999999998,0.769,0.9,0,Home,10,28,10.0,23.076923076923077
Friday Oct 10,Clarkson,"University Park, Pa. / Pegula Ice Arena",W Win 5-2,https://gopsusports.com/boxscore/17962,6440321,5,31,57,30,24,55.56,75,11,21,2,23,39,24,30,44.44,77,13,26,1,3,8,54,11.120000000000005,0.913,0.839,0,Home,7,152,16.129032258064516,8.695652173913043
Friday Oct 17,LIU,"University Park, Pa. / Pegula Ice Arena",W Win 5-4,https://gopsusports.com/boxscore/17963,6424375,5,41,66,37,33,52.86,10,15,32,4,36,63,33,37,47.14,25,11,36,1,1,5,77,5.719999999999999,0.889,0.878,0,Home,9,35,12.195121951219512,11.11111111111111
Saturday Oct 18,LIU,"University Park, Pa. / Pegula Ice Arena",W Win 3-0,https://gopsusports.com/boxscore/17964,6424376,3,38,72,38,25,60.32,44,14,28,0,28,54,25,38,39.68,57,18,35,1,3,10,66,20.64,1.0,0.921,0,Home,3,101,7.894736842105263,0.0
Friday Oct 24,Stonehill,"University Park, Pa. / Pegula Ice Arena",W Win 3-2,https://gopsusports.com/boxscore/17965,6440323,3,36,63,38,18,67.86,6,14,30,2,32,52,18,38,32.14,12,14,33,1,1,4,68,35.72,0.938,0.917,0,Home,5,18,8.333333333333332,6.25
Saturday Oct 25,Stonehill,"University Park, Pa. / Pegula Ice Arena",W Win 4-2,https://gopsusports.com/boxscore/17966,6440324,4,32,60,36,29,55.38,12,9,26,2,28,43,29,36,44.62,12,20,28,1,2,4,60,10.760000000000005,0.929,0.875,0,Home,6,24,12.5,7.142857142857142
Thursday Oct 30,Ohio State,"Columbus, Ohio / Value City Arena",W Win 3-2,https://gopsusports.com/boxscore/18294,6440325,3,37,64,39,38,50.65,16,10,28,2,30,52,38,39,49.35,18,14,34,1,1,7,67,1.2999999999999972,0.933,0.919,0,Away,5,34,8.108108108108109,6.666666666666667
Friday Nov 7,Michigan State,"East Lansing, Mich. / Munn Ice Arena",L Loss 1-2,https://gopsusports.com/boxscore/18296,6440327,1,25,44,32,27,54.24,6,8,30,2,32,55,27,32,45.76,10,11,24,0,-1,-7,57,8.480000000000004,0.938,0.96,0,Away,3,16,4.0,6.25
Saturday Nov 8,Michigan State,"East Lansing, Mich. / Munn Ice Arena",L Loss 0-5,https://gopsusports.com/boxscore/18297,6440328,0,36,53,36,36,50.0,40,7,43,5,48,69,36,36,50.0,38,8,36,0,-5,-12,84,0.0,0.896,1.0,0,Away,5,78,0.0,10.416666666666668
Friday Nov 14,Michigan,"University Park, Pa. / Pegula Ice Arena",L Loss 1-7,https://gopsusports.com/boxscore/18298,6439390,1,27,56,28,27,50.91,10,12,30,7,37,73,27,28,49.09,6,10,26,0,-6,-10,64,1.8199999999999932,0.811,0.963,0,Home,8,16,3.7037037037037033,18.91891891891892
Saturday Nov 15,Michigan,"University Park, Pa. / Pegula Ice Arena",W Win 4-2,https://gopsusports.com/boxscore/18299,6439391,4,31,56,31,27,53.45,10,17,32,2,34,67,27,31,46.55,8,12,27,1,2,-3,65,6.900000000000006,0.941,0.871,0,Home,6,18,12.903225806451612,5.88235294117647
Friday Nov 21,Minnesota,"Minneapolis, Minn. / 3M Arena at Mariucci",L Loss 2-3,https://gopsusports.com/boxscore/18300,6439768,2,29,75,32,30,51.61,33,11,26,3,29,57,30,32,48.39,33,19,27,0,-1,0,58,3.219999999999999,0.897,0.931,0,Away,5,66,6.896551724137931,10.344827586206897
Saturday Nov 22,Minnesota,"Minneapolis, Minn. / 3M Arena at Mariucci",W Win 2-1,https://gopsusports.com/boxscore/18301,6439769,2,29,63,28,26,51.85,8,9,23,1,24,49,26,28,48.15,8,21,27,1,1,5,53,3.700000000000003,0.958,0.931,0,Away,3,16,6.896551724137931,4.166666666666666
Saturday Jan 3,RIT,"Rochester, N.Y. / Gene Polisseni Center",L Loss 0-1,https://gopsusports.com/boxscore/17968,6438495,0,44,88,32,31,50.79,2,5,20,1,21,38,31,32,49.21,4,20,44,0,-1,23,65,1.5799999999999983,0.952,1.0,0,Away,1,6,0.0,4.761904761904762
Sunday Jan 4,RIT,"University Park, Pa. / Pegula Ice Arena",W Win 7-3,https://gopsusports.com/boxscore/17967,6440330,7,36,55,35,31,53.03,24,13,29,3,32,61,31,35,46.97,36,11,29,1,4,4,68,6.060000000000002,0.906,0.806,0,Home,10,60,19.444444444444446,9.375
Friday Jan 9,Minnesota,"University Park, Pa. / Pegula Ice Arena",W Win 3-0,https://gopsusports.com/boxscore/18302,6439773,3,40,77,32,27,54.24,14,15,27,0,27,50,27,32,45.76,14,17,37,1,3,13,67,8.480000000000004,1.0,0.925,0,Home,3,28,7.5,0.0
