Date,Opponent,Location,Result,Box Score Link,WMT Game ID,PSU Goals,PSU Shots on Goal,PSU Total Shot Attempts,PSU Faceoffs Won,PSU Faceoffs Lost,PSU Faceoff %,PSU Penalty Minutes,PSU Blocks,PSU Saves,Opponent Goals,Opponent Shots on Goal,Opponent Total Shot Attempts,Opponent Faceoffs Won,Opponent Faceoffs Lost,Opponent Faceoff %,Opponent Penalty Minutes,Opponent Blocks,Opponent Saves,Win,Goal Differential,Shot Differential,Total Shots on Goal,Faceoff Differential,PSU Save %,Opponent Save %,Home Game,Venue_Type,Total Goals,Total Penalty Minutes,PSU Shooting %,Opponent Shooting %
Saturday Jan 10,Minnesota,"University Park, Pa. / Pegula Ice Arena",W Win 5-2,https://gopsusports.com/boxscore/18303,6439774,5,43,65,34,26,56.67,8,14,32,2,34,61,26,34,43.33,9,10,38,1,3,9,77,13.340000000000003,0.941,0.884,0,Home,7,17,11.627906976744185,5.88235294117647
Friday Jan 16,Notre Dame,"University Park, Pa. / Pegula Ice Arena",W Win 4-1,https://gopsusports.com/boxscore/18304,6440331,4,43,69,35,29,54.69,14,11,41,1,42,67,29,35,45.31,27,11,39,1,3,1,85,9.379999999999995,0.976,0.907,0,Home,5,41,9.30232558139535,2.380952380952381
Saturday Jan 17,Notre Dame,"University Park, Pa. / Pegula Ice Arena",W Win 6-3,https://gopsusports.com/boxscore/18305,6440332,6,35,66,38,28,57.58,16,20,27,3,30,61,28,38,42.42,14,13,29,1,3,5,65,15.159999999999997,0.9,0.829,0,Home,9,30,17.142857142857142,10.0
Friday Jan 23,Wisconsin,"Madison, Wis. / Kohl Center",W Win 7-2,https://gopsusports.com/boxscore/18306,6440333,7,34,55,28,28,50.0,25,12,39,2,41,64,28,28,50.0,16,7,27,1,5,-7,75,0.0,0.951,0.794,0,Away,9,41,20.588235294117645,4.878048780487805
Saturday Jan 24,Wisconsin,"Madison, Wis. / Kohl Center",W Win 3-1,https://gopsusports.com/boxscore/18307,6440334,3,33,59,34,22,60.71,59,11,40,1,41,70,22,34,39.29,71,13,30,1,2,-8,74,21.42,0.976,0.909,0,Away,4,130,9.090909090909092,2.4390243902439024
Friday Jan 30,Michigan State,"University Park, Pa. / Pegula Ice Arena",L Loss 3-6,https://gopsusports.com/boxscore/18308,6440336,3,36,77,52,28,65.0,39,8,30,6,36,57,28,52,35.0,40,20,33,0,-3,0,72,30.0,0.833,0.917,0,Home,9,79,8.333333333333332,16.666666666666664
Saturday Jan 31,Michigan State,"University Park, Pa. / West Shore Home Field at Beaver Stadium",L Loss 4-5,https://gopsusports.com/boxscore/18309,6440335,4,35,62,39,35,52.7,4,12,35,5,40,77,35,39,47.3,6,15,31,0,-1,-5,75,5.400000000000006,0.875,0.886,1,Away,9,10,11.428571428571429,12.5
Friday Feb 13,Michigan,"Ann Arbor, Mich. / Yost Ice Arena",T Tie 4-4,https://gopsusports.com/boxscore/18310,6439408,4,38,63,24,34,41.38,31,19,33,4,37,70,34,24,58.62,14,10,34,0,0,1,75,-17.239999999999995,0.892,0.895,0,Away,8,45,10.526315789473683,10.81081081081081
Friday Feb 20,Ohio State,"University Park, Pa. / Pegula Ice Arena",W Win 11-4,https://gopsusports.com/boxscore/18312,6440337,11,38,64,41,28,59.42,8,16,38,4,42,79,28,41,40.58,12,9,27,1,7,-4,80,18.840000000000003,0.905,0.711,0,Home,15,20,28.947368421052634,9.523809523809524
Saturday Feb 21,Ohio State,"University Park, Pa. / Pegula Ice Arena",W Win 5-4,https://gopsusports.com/boxscore/18313,6440338,5,30,49,32,43,42.67,8,16,33,4,37,69,43,32,57.33,23,11,25,1,1,-7,67,-14.659999999999997,0.892,0.833,0,Home,9,31,16.666666666666664,10.81081081081081
Friday Feb 27,Notre Dame,"South Bend, Ind. / Compton Family Ice Arena",T Tie 3-3,https://gopsusports.com/boxscore/18314,6440339,3,28,60,31,41,43.06,6,18,33,3,36,76,41,31,56.94,4,8,25,0,0,-8,64,-13.879999999999995,0.917,0.893,0,Away,6,10,10.714285714285714,8.333333333333332
Saturday Feb 28,Notre Dame,"South Bend, Ind. / Compton Family Ice Arena",L Loss 3-4,https://gopsusports.com/boxscore/18315,6440340,3,29,51,22,42,34.38,10,7,29,4,33,59,42,22,65.62,8,8,26,0,-1,-4,62,-31.240000000000002,0.879,0.897,0,Away,7,18,10.344827586206897,12.121212121212121
Thursday Mar 5,Wisconsin,"University Park, Pa. / Pegula Ice Arena",L Loss 3-7,https://gopsusports.com/boxscore/18316,6440341,3,31,48,34,42,44.74,22,8,34,7,41,72,42,34,55.26,17,7,28,0,-4,-10,72,-10.519999999999996,0.829,0.903,0,Home,10,39,9.67741935483871,17.073170731707318
Friday Mar 6,Wisconsin,"University Park, Pa. / Pegula Ice Arena",L Loss 2-5,https://gopsusports.com/boxscore/18317,6440342,2,25,46,28,34,45.16,18,20,32,5,37,65,34,28,54.84,31,12,23,0,-3,-12,62,-9.680000000000007,0.865,0.92,0,Home,7,49,8.0,13.513513513513514
Wednesday Mar 11,Minnesota,"University Park, Pa. / Pegula Ice Arena",W Win 6-2,https://gopsusports.com/boxscore/17975,6558834,6,40,61,30,32,48.39,14,12,27,2,29,50,32,30,51.61,0,7,34,1,4,11,69,-3.219999999999999,0.931,0.85,0,Home,8,14,15.0,6.896551724137931
Friday Mar 27,Minnesota-Duluth,"Albany, N.Y. / MVP Arena",L Loss 1-3,https://gopsusports.com/boxscore/17971,6566091,1,30,57,27,35,43.55,2,8,36,3,39,63,35,27,56.45,2,11,29,0,-2,-9,69,-12.900000000000006,0.923,0.967,0,Away,4,4,3.3333333333333335,7.6923076923076925
