Feature,Importance
Shot Differential,0.19355548218441385
PSU Blocks,0.17068123512859704
PSU Shots on Goal,0.14440249228100524
PSU Faceoff %,0.09180053701989692
PSU Penalty Minutes,0.07944196541673194
Faceoff Differential,0.07897308806980691
Opponent Faceoff %,0.07719079471860005
Opponent Blocks,0.0663100935843495
Opponent Penalty Minutes,0.052469656725393464
Opponent Shots on Goal,0.04517465487120508
