Feature,Median Threshold,Win % At or Above Threshold,Win % Below Threshold,Win % Difference
Shot Differential,0.5,82.35294117647058,35.294117647058826,47.058823529411754
Faceoff Differential,4.550000000000004,76.47058823529412,41.17647058823529,35.294117647058826
PSU Faceoff %,52.275000000000006,76.47058823529412,41.17647058823529,35.294117647058826
PSU Blocks,12.0,70.0,42.857142857142854,27.142857142857146
PSU Shots on Goal,35.5,70.58823529411765,47.05882352941176,23.52941176470589
PSU Penalty Minutes,14.0,63.1578947368421,53.333333333333336,9.824561403508767
